handle,text,
22,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM,1.0
23,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",1.0
24,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n",1.0
25,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF",1.0
26,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq",1.0
27,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",0.0
28,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm",1.0
29,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",1.0
30,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay,1.0
31,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,1.0
32,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT",1.0
33,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd",0.0
34,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO,1.0
35,"Trump sobre Alicia Machado en 1996: ""Miss Piggy""

Esta mañana: ""Aumentó mucho de peso... era un problema serio"". https://t.co/Sv92DhXTPJ",1.0
36,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN,1.0
37,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO,1.0
38,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs",1.0
39,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",1.0
40,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp,1.0
41,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ",1.0
42,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",0.0
43,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm",1.0
44,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",1.0
45,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm",1.0
46,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon,1.0
47,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp,0.0
48,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",1.0
49,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",0.0
50,Hillary's been failing for 30 years in not getting the job done - it will never change.,0.0
51,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z",1.0
52,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,0.0
53,The #1 trend on Twitter right now is #TrumpWon - thank you!,0.0
54,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,0.0
55,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y",0.0
56,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,0.0
57,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO",1.0
58,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb,1.0
59,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,0.0
60,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",0.0
61,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn",0.0
62,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op",0.0
63,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu",0.0
64,".@newtgingrich just said ""a historic victory for Trump."" NICE!",0.0
65,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc",1.0
66,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",0.0
67,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J,1.0
68,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",0.0
69,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",0.0
70,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",0.0
71,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,1.0
72,#DebateNight https://t.co/x4oTfkIlHS,1.0
73,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z",1.0
74,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,1.0
75,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",1.0
76,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",1.0
77,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,1.0
78,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF,1.0
79,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY,1.0
80,Gracias señora @HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!,1.0
81,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs,1.0
82,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc,1.0
83,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs",0.0
84,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,0.0
85,"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu",1.0
86,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j,1.0
87,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L,0.0
88,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight",1.0
89,.@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate.… https://t.co/2BovwrJisi,0.0
90,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight https://t.co/z66rUZz31J",1.0
91,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",0.0
92,.@realDonaldTrump: Barack Obama is your president too. #debatenight,1.0
93,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight,1.0
94,"Hillary Clinton failed all over the world. 
❌LIBYA
❌SYRIA
❌IRAN
❌IRAQ
❌ASIA PIVOT
❌RUSSIAN RESET
❌BENGHAZI… https://t.co/OoakXs2rij",0.0
95,This should go without saying: Taking nuclear war lightly is disqualifying for anyone seeking to be President of th… https://t.co/OXigxJhmqJ,1.0
96,"Donald Trump says he has better temperament than Hillary Clinton.

Fact check: He is Donald Trump. 

#debate",1.0
97,"100% TRUE --&gt; @realDonaldTrump is right - @HillaryClinton did call TPP ‘the gold standard’ #Debates2016 
https://t.co/W7L7a9wSCB",0.0
98,Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr,0.0
99,".@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight 
https://t.co/6EEOAaCiNv",0.0
100,"Hillary's policies have made America less safe, that's why 200+ general and military leaders have endorsed… https://t.co/x7sBpy0CEV",0.0
101,"""I hope the fact-checkers are turning up the volume. Donald Trump supported the invasion of Iraq.” https://t.co/CoyJtoyxd0",1.0
102,This is... still not true! #debate https://t.co/6SKFZunCL5,1.0
103,What is the deal with Donald Trump and Russia? https://t.co/xUYxOdoYo3 #debatenight,1.0
104,Trump's top Russia advisor is being probed for meeting with the Kremlin aide in charge of US election intelligence.  https://t.co/GN5Gg4ug0L,1.0
105,"Jesse Jackson on @realDonaldTrump - when he donated space for the Rainbow/Push Coalition. 
#DebateNight https://t.co/JTbqO0DNzy",0.0
106,"When Donald Trump goes low, we go high. #DebateNight https://t.co/5MUlOMJqWM",1.0
107,"When a man is sued for discriminating against black tenants &amp; pushes birtherism, he's giving you an idea of what kind of president he'd be.",1.0
108,This is just one of the business practices that led to Donald Trump being sued for discrimination. #Debate… https://t.co/PoXvMnGfCy,1.0
109,"Donald Trump's answer for his five years of pushing the racist birther conspiracy theory?

""I say nothing."" #debatenight",1.0
110,"""Trump just criticized me for preparing for this debate. You know what else I prepared for? Being president."" #DebateNight",1.0
111,President Obama was born in the United States. He’s American. Trump only has one reason for refusing to admit it. #debatenight,1.0
112,"Still a complete lie. #DebateNight 
https://t.co/F8aCfIqYWs",1.0
113,Donald Trump is more concerned with pandering to the gun lobby than keeping families safe. #DebateNight https://t.co/LspcUJNUc5,1.0
114,"The fact that Trump's answer to a question about racial injustice is just ""we need law and order"" pretty much says it all. #debatenight",1.0
115,We’ve got to address the systemic racism in our criminal justice system and end private prisons. #DebateNight https://t.co/8afCXJAAjI,1.0
116,How Hillary Clinton Took Charge In The First Presidential Debate https://t.co/4gwtCnACV0,1.0
117,I will stand with police and protect ALL Americans! #Debates2016 #MAGA https://t.co/CX4oEWgEMp,0.0
118,We are not going to bring New York’s unconstitutional stop-and-frisk program nationwide. #debatenight,1.0
119,"When @realDonaldTrump is POTUS, families are going to be safe and secure. Law and order will be RESTORED! #MAGA… https://t.co/4Qo9gV7mgc",0.0
120,"""Maybe he didn't do a good job."" —Donald Trump

Looks like you “loved” it at the time. #DebateNight… https://t.co/LelC6Tb3nj",1.0
121,WATCH: @realDonaldTrump on the stakes in this election #Debates2016 https://t.co/l7DSbPXDGh,0.0
122,"""It's about time this country had somebody running it who has an idea about money."" —Trump #debatenight https://t.co/dpDrKCHVCd",1.0
123,"Paying zero in taxes doesn’t make you ""smart.""

It makes you a tax evader. https://t.co/g9nQkSRvTB",1.0
124,No wonder Donald Trump is hiding his tax returns. #debatenight https://t.co/gcvsadMwHJ,1.0
125,"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016",0.0
126,"No legit reason @realDonaldTrump can't release returns while being audited, but if scared, release earlier returns no longer under audit.",1.0
127,HILLARY'S BAD TAX HABIT! https://t.co/x3FBy8Hdq2,0.0
128,A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5,0.0
129,.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016,0.0
130,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for innovation and job creati… https://t.co/02NMQn3ZNQ",0.0
131,"In the spirit of friendship, here's Donald Trump's ISIS plan for your consideration. #debate https://t.co/YCXFWZyiGA",1.0
132,Donald Trump may live in his own reality—but we've got his own words right here. Check them out: https://t.co/NLPH8sbAGn #debatenight,1.0
133,.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016,0.0
134,"We can step up and confront climate change, save our planet, and invest in clean energy. 

Or, we can do nothing.… https://t.co/U29h8UaYZP",1.0
135,"""I never said that."" —Donald Trump, who said that. #debatenight https://t.co/6T8qV2HCbL",1.0
136,"""That's called business."" —Donald Trump on the housing crash.

For millions of Americans it was called ""losing their home."" #DebateNight",1.0
137,.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years,0.0
138,"Economists project that Trump’s plans would add more than $5,000,000,000,000 to the national debt. That's ""trillion"" with a ""T.""",1.0
139,"Donald Trump seems to think $15 million is a ""small loan."" #debate https://t.co/Bo3HOhdR92 https://t.co/K5bCPX3ujx",1.0
140,"Every time Trump makes a show of railing against outsourcing, remember the countries he shipped jobs and profits to: https://t.co/5MZTsOgYR9",1.0
141,A @realDonaldTrump Administration will bring JOBS BACK! #Debates2016 https://t.co/4O3rIyycyW,0.0
142,"Having a small business owner for a dad may not get you multi-million-dollar bailouts, but it does teach you the va… https://t.co/3LV3pmjRBI",1.0
143,How many Trump products were made overseas? Here’s the complete list. https://t.co/OdJOZeZau0,1.0
144,There's only one candidate on stage who will support working families. #DebateNight https://t.co/uOV7JC9uQC,1.0
145,"We have to build an economy that works for everyone, not just those at the top. #DebateNight https://t.co/XPTvh4Dovf",1.0
146,Watch live: Hillary takes the stage for the first presidential debate → https://t.co/FbmDLQp03w #DebateNight,1.0
147,Let's do this. #DebateNight https://t.co/NkPEGHzucT,1.0
148,"Why isn't Hillary Clinton 50 points ahead?
#DebateNight https://t.co/iux7icIkaT",0.0
149,"If you're with Hillary, now's the time to show it. Chip in before tonight's debate to have her back: https://t.co/OftmbqRvyQ #DebateNight",1.0
150,"No matter what Donald says at tonight's debate, we already know the real Trump.

Follow @TheBriefing2016 for the fa… https://t.co/ueK4tWWMN0",1.0
151,"Hillary’s set to take the debate stage at 9pm ET.

Here's where you can watch: https://t.co/DhwVYhlA6K #DebateNight https://t.co/gMJINu5xJi",1.0
152,Join @realDonaldTrump on his official social media platforms during tonight's debate ~ as @TeamTrump manages rapid… https://t.co/hheOvJjvcZ,0.0
153,"“You didn’t blame Little John or Meat Loaf. You fired Gary Busey.

These are the kinds of decisions that would keep… https://t.co/RT0cARwsu7",1.0
154,"My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!
#DebateNight #TrumpPence16",0.0
155,Study: Donald Trump would raise taxes on millions of middle-class families https://t.co/NmTl8m1R1G https://t.co/INemC8Roms,1.0
156,Here are 35 questions Trump still needs to answer. https://t.co/rdMYbHGhwA #DebateNight,1.0
157,Watch this before you watch tonight's debate. #DebateNight https://t.co/vnC4bMrS0Q,1.0
158,"Trump told 31 outright lies just last week.

Keep him honest at tonight's debate: Follow @TheBriefing2016 to get th… https://t.co/m1WyJ3DJqF",1.0
159,"""Our presidents are role models for generations of our children. Is this the example we want for them?"" —@NYTimes… https://t.co/lQRruBpQfB",1.0
160,Hillary Clinton has a $10 billion plan to stop the heroin epidemic. Donald Trump has some slogans. https://t.co/tN8jGGWrvn,1.0
161,"These headlines on Trump's lies are from just one week of his campaign.

Imagine four years of his presidency. https://t.co/FE1hZ7MmR6",1.0
162,Everything you need to know before watching tonight's debate: https://t.co/Z4gcpSDfZa https://t.co/bymTtB2Et7,1.0
163,"Tonight, Hillary will debate Trump for the first time. Follow @TheBriefing2016 to make sure he's held accountable to the facts. #DebateNight",1.0
164,"#Polls showing @realDonaldTrump surging, @hillaryclinton #slipping, have HER camp on defense/lowering expectations, going into #Debates2016",0.0
165,A reminder heading into tonight's debate. #DebateNight https://t.co/TwsbBNPOZP,1.0
166,"""Donald Trump is a man who dwells in bigotry, bluster and false promises."" —@NYTimes https://t.co/dGBX93R3PK #DebateNight",1.0
167,"This job takes maturity, compassion, and wisdom. Only one candidate has what it takes. #DebateNight https://t.co/TAA1qZUdtq",1.0
168,Our daughters deserve better. https://t.co/LJPlFegSTs,1.0
169,Not a single living president has endorsed Donald Trump. https://t.co/nGXxXTo3NI,1.0
170,Trump can't win tonight's debate by lying to the American people. https://t.co/uRkyip3Rfe,1.0
171,RT this if you've got Hillary's back tonight. #Debates2016 https://t.co/r66XZWiNJL,1.0
172,"New national Bloomberg poll just released - thank you! Join the MOVEMENT: https://t.co/3KWOl2ibaW. 
#TrumpTrain… https://t.co/xDGCwYVK0Q",0.0
173,"When we come together, there's no problem we can't solve and no divide we can't heal. https://t.co/2eutCA4R6C",1.0
174,"Really sad news: The great Arnold Palmer, the ""King,"" has died. There was no-one like him - a true champion! He will be truly missed.",0.0
175,"Today, the sacrifices of Gold Star families weigh heavier on my mind. Thank you. I will fight to get you the care &amp; benefits you deserve. -H",1.0
176,Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!,0.0
177,"59 years ago, 9 brave students integrated Central High School, changing the course of history. Let's recommit to fi… https://t.co/wzF4WRU5IS",1.0
178,Let's send Donald Trump—and the world—a clear message. https://t.co/tTgeqxNqYm #LoveTrumpsHate https://t.co/0VI8zmXgZE,1.0
179,Imagine Donald Trump sitting in the Situation Room making life or death decisions on behalf of the United States. https://t.co/YFraVXr5Zf,1.0
180,The NYT Editorial Board says Donald Trump should not be president. Here's why. https://t.co/aQ0NZm19Hx via @nytopinion,1.0
181,Take it from those who have been there - Trump is not ready for the responsibility of being president: https://t.co/MCmcwcOwju,1.0
182,"""[Hillary] is one of the most qualified people ever to run for the office, and she easily earns our endorsement.”… https://t.co/AhBE0UuJPO",1.0
183,Our veterans and their families deserve a president who doesn't disrespect and disparage their sacrifices. https://t.co/sMGa9bxZGX,1.0
184,"Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu:
https://t.co/VHuyE65hgi https://t.co/6KDPrQxSED",0.0
185,7 ways Hillary's policies would help you in your daily life: https://t.co/f7oDXlVyx6,1.0
186,This war hero's Gold Star parents want you to know why they're backing .@HillaryClinton for president… https://t.co/6vEh87N02B,1.0
187,"Once again, Trump's own words are the best evidence he's not fit to be president. https://t.co/D3Ox56zt1k",1.0
188,Gold Star families have made sacrifices most of us can't even fathom. They deserve our respect and our thanks. https://t.co/c9gDHudBjt,1.0
189,Not one living president has said they believe Donald Trump has what it takes to be Commander-in-Chief. https://t.co/3HeTtkQ6KS,1.0
190,Meet three women who inspired Hillary to become the person she is today: https://t.co/1O4rw3ecBH https://t.co/Df9X0o5E6h,1.0
191,Looking forward to my meeting with Benjamin Netanyahu in Trump Tower at 10:00 A.M.,0.0
192,"""Our endorsement is rooted in respect for her intellect, experience, toughness and courage."" —@NYTimes on Hillary… https://t.co/ihdRZdqGva",1.0
193,Bernie Sanders gave Hillary the Dem nomination when he gave up on the e-mails. That issue has only gotten bigger!,0.0
194,"Many on the team and staff of Bernie Sanders have been treated badly by the Hillary Clinton campaign - and they like Trump on trade, a lot!",0.0
195,"The new @NMAAHC is an overdue tribute to African American history. Let's build a more open, inclusive future by reflecting on our past. -H",1.0
196,"Thank you Roanoke, Virginia - this a MOVEMENT - join us today!
Sign up: https://t.co/NQEgRxQN2m
#AmericaFirst… https://t.co/Rz3DkpBQJu",0.0
197,"""Our choice, Hillary Clinton, has a record of service and a raft of pragmatic ideas."" —@NYTimes endorsing Hillary… https://t.co/7Sus2PxlWC",1.0
198,"""I thought, this woman—I want to ride with her."" —Roxie, a Republican and small business owner, on meeting Hillary https://t.co/s5zyaOBLXB",1.0
199,Hillary's been fighting for women and girls her entire career—and she's just getting started. https://t.co/NMnrgEzNkT,1.0
200,"""A lifetime’s commitment to solving problems in the real world qualifies Hillary Clinton for this job."" —@NYTimes https://t.co/qaswl7IOOJ",1.0
201,We know all too well who Donald Trump is. Let's make sure he never becomes president: https://t.co/tTgeqxNqYm https://t.co/3lJjQEQ0BR,1.0
202,"RT if you believe that #LoveTrumpsHate

Then make sure you're registered to vote: https://t.co/tTgeqxNqYm https://t.co/TlXODnaV53",1.0
203,"If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!",0.0
204,The NYT Editorial Board endorses Hillary Clinton for president https://t.co/aSQ7lkaR6w via @nytopinion https://t.co/Zm4O1AcVS2,1.0
205,Donald Trump doesn't see people like Anastasia—he only sees disability. https://t.co/0aDgpwHtjv,1.0
206,Will be back in Virginia tonight- for a 6pm rally at the Berglund Center in Roanoke. Join me! Tickets:… https://t.co/6pQMSgPWuN,0.0
207,"""@KellyannePolls: Trump is headed for a win, says professor who has predicted 30 years of presidential outcomes   https://t.co/68WEMcuHSO""",0.0
208,The @SenTedCruz endorsement was a wonderful surprise. I greatly appreciate his support! We will have a tremendous victory on November 8th.,0.0
209,Today is the day! Knock on doors and make calls with us on National Day of Action! #TrumpTrain #MAGA… https://t.co/4iW06ROvsT,0.0
210,"Crooked Hillary's bad judgement forced her to announce that she would go to Charlotte on Saturday to grandstand. Dem pols said no way, dumb!",0.0
211,"""Hillary Clinton is one of the best prepared candidates to seek the presidency."" —@LATimes https://t.co/NG1am536OS",1.0
212,Tell a girl to run - for office! #DeclareYourAmbition at https://t.co/Gcthrb8QwO https://t.co/AAIOYi1hFA,1.0
213,"If the young women of this country have Donald Trump as their president, what will they think of themselves? https://t.co/1IrjWddzzy",1.0
214,Republicans are once again turning their backs on the people of Flint who have waited far too long for help. It's w… https://t.co/sYyqDHAVXp,1.0
215,"""I was just blown away by this 9-year-old girl."" —Hillary on meeting disability rights advocate @AnastasiaSomoza https://t.co/nrjcqfGiRe",1.0
216,"I wouldn't tolerate anyone talking to my daughter like that, and she wouldn't either. https://t.co/ZExu0ZacWS",1.0
217,"""Donald Trump committed perjury. Or he looked into the faces of the Republican faithful and knowingly lied."" https://t.co/enl4NTjdX4",1.0
218,"The Enquirer editorial board is endorsing Hillary Clinton for president, breaking a nearly century-long tradition of endorsing Republicans.",1.0
219,"""Hillary Clinton would make a sober, smart and pragmatic president. Donald Trump would be a catastrophe."" —@LATimes https://t.co/NG1am536OS",1.0
220,"Join me in Roanoke, Virginia tomorrow at the Berglund Center- Coliseum ~ 6pm! Tickets available at:… https://t.co/bnEE6NX41Z",0.0
221,I’ve released 9 years of tax returns. RT if you agree it’s time for Donald Trump to release his! https://t.co/08whtFVC0r,1.0
222,Addiction is a disease—not a moral failing. We should support those who are struggling with it. #OpioidAwarenessWeek https://t.co/V9Uz3jVEjN,1.0
223,Charlotte should release police video of the Keith Lamont Scott shooting without delay. We must ensure justice &amp,1.0
224,"'How Trump Would Stimulate the U.S. Economy'
https://t.co/jU3HHglnIu",0.0
225,"Hillary Clinton just lost every Republican she ever had, including Never Trump, all farmers &amp; sm. biz, by saying she’ll tax estates at 65%.",0.0
226,"""She gives us hope for the future. She's our girl.""  —Roxie, co-owner of @MercersDairy, on Hillary https://t.co/s5zyaOBLXB",1.0
227,Tomorrow's the day! Knock on doors and make calls with us on National Day of Action! #TrumpTrain #MAGA… https://t.co/05NY0wJHkL,0.0
228,EXCLUSIVE: How Donald Trump's 30 million followers are crashing the Internet https://t.co/hV2z4yrTU7 https://t.co/lWkjmdyQ7Q,0.0
229,Every Voice is proud to endorse @HillaryClinton for president. https://t.co/S30v1eZtCm https://t.co/2YUAG4wPJu,1.0
230,"When Donald Trump speaks about women, our daughters can hear him. https://t.co/0r1N6R8rV6",1.0
231,"Editorial board: Clinton would be a smart, pragmatic president. Trump would be a catastrophe.… https://t.co/GVsU7ogGPO",1.0
232,Is this the president we want for our daughters? https://t.co/GP4rfhPDGm,1.0
233,"""He's 70 years old, and he's still a bully."" —Karen on @realDonaldTrump https://t.co/XBCJ4mTj24",1.0
234,Our favorite moments from Hillary's appearance on Between Two Ferns → https://t.co/tXLPQtR7tb https://t.co/Er2YqHQVhl,1.0
235,Spoke with Governor @PatMcCroryNC of North Carolina today. He is doing a tremendous job under tough circumstances.,0.0
236,"""Vote."" —@Lin_Manuel https://t.co/tTgeqxNqYm https://t.co/m9H9b9X7Ar",1.0
237,"This is more than a campaign- it is a movement. #MakeAmericaGreatAgain
SIGN UP TODAY &amp; WE WILL WIN! https://t.co/2XBs5SSRC3",0.0
238,"""I really regret doing this."" —Hillary on Between Two Ferns https://t.co/OmDyINNCrW",1.0
239,Let's make sure nobody who works full-time in America has to live in poverty. https://t.co/mpGBCNlemA https://t.co/fCcXd1MrTo,1.0
240,Donald Trump's ties to Russia may conflict with America's interests—but they're great for his bottom line. https://t.co/gYbm5HxfxG,1.0
241,Very concerned about the outage in Puerto Rico and the millions of families who don't have power. Hoping it's resto… https://t.co/Y2oG1CS2AN,1.0
242,The man who could be your next president may be deeply indebted to another country. Do you trust him to run ours? https://t.co/5TU9olTqd5,1.0
243,"Most people who are bullies grow out of it. 

Donald Trump hasn't. https://t.co/tEJ9ATm9BS",1.0
